hour,pred_demand,route,rec_buses,rec_headway,actual_buses,gap
0,102.9177022354836,Q58,2,30.0,4,-2
1,43.108735220724505,Q58,1,60.0,3,-2
2,19.00235454310265,Q58,1,60.0,2,-1
3,37.48777421741067,Q58,1,60.0,3,-2
4,182.98984194737727,Q58,4,15.0,10,-6
5,745.2098941272204,Q58,13,4.6,18,-5
6,1413.6117984568423,Q58,24,2.5,26,-2
7,1940.573135884555,Q58,30,2.0,26,4
8,1610.5522061409358,Q58,27,2.2,19,8
9,1089.578263530292,Q58,19,3.2,14,5
10,866.0873395356515,Q58,15,4.0,15,0
11,782.4377123419775,Q58,14,4.3,14,0
12,823.4278970318119,Q58,14,4.3,13,1
13,934.6586474074771,Q58,16,3.8,12,4
14,1183.000617162745,Q58,20,3.0,14,6
15,1345.4516017467529,Q58,23,2.6,21,2
16,1494.4534854276048,Q58,25,2.4,21,4
17,1505.673141369029,Q58,26,2.3,20,6
18,1265.584383287375,Q58,22,2.7,16,6
19,931.274526791379,Q58,16,3.8,15,1
20,705.3166527597507,Q58,12,5.0,14,-2
21,498.5962246711475,Q58,9,6.7,13,-4
22,357.3415152570979,Q58,6,10.0,9,-3
23,231.1321015771507,Q58,4,15.0,7,-3
0,3.0650676722695502,B100,1,60.0,2,-1
1,0.46741264526243875,B100,1,60.0,1,0
2,0.1411872898074795,B100,1,60.0,0,1
3,0.13490411639018848,B100,1,60.0,0,1
4,0.8974500971308045,B100,1,60.0,0,1
5,18.944379801936652,B100,1,60.0,2,-1
6,190.6403314309586,B100,4,15.0,14,-10
7,398.60577249863474,B100,7,8.6,24,-17
8,347.62057629762995,B100,6,10.0,17,-11
9,169.94336982673653,B100,3,20.0,8,-5
10,119.30015377102326,B100,2,30.0,8,-6
11,103.78650905475556,B100,2,30.0,8,-6
12,118.09727506458297,B100,2,30.0,8,-6
13,141.7238900787972,B100,3,20.0,8,-5
14,189.85416523490704,B100,4,15.0,13,-9
15,250.10726430995348,B100,5,12.0,16,-11
16,308.6594698761916,B100,6,10.0,16,-10
17,384.8897803214128,B100,7,8.6,20,-13
18,314.91307529009964,B100,6,10.0,19,-13
19,175.34383713560808,B100,3,20.0,11,-8
20,104.6755394881401,B100,2,30.0,9,-7
21,63.596828713250474,B100,2,30.0,7,-5
22,35.43520901459763,B100,1,60.0,6,-5
23,18.904383707646407,B100,1,60.0,3,-2
